Scene,Figure,Ground,ground_lightsource,ground_container,support,ground_verticality,size_ratio,shortest_distance,contact_proportion,above_proportion,below_proportion,bbox_overlap_proportion,horizontal_distance,f_covers_g,g_covers_f,figure_lightsource,figure_container,location_control
compsvi14,ball,bowl,0,1,0.24923879999999998,0,0.4400982,0.0,0.4563107,0.1553398,0.0,0.7228551,0.001284797,0.31812729999999995,1.0,0,0,0.765098725
compsvi14,ball,table,0,0,1.0,0,0.001123048,0.01590121,0.0,1.0,0.0,0.030911400000000002,0.10737839999999996,0.007048403000000002,1.0,0,0,0.6939094
compsvi14,ball,pencil,0,0,0.03419478,0,1.850322,0.02537423,0.0,0.0,0.807767,0.1167962,0.05564174,0.2161106,0.7690325,0,0,0.10888879
compsvi14,table,bowl,0,1,0.0,0,391.8784,0.04408098,0.0,0.0,0.8066038000000001,2.531455e-05,0.10666110000000001,1.0,0.02215592,0,0,0.00100554035
compsvi14,table,ball,0,0,0.0,0,890.4341,0.08762909,0.0,0.0,0.5613208000000001,3.471498e-05,0.10737839999999996,1.0,0.007048403000000002,0,0,0.009098153125
compsvi14,table,pencil,0,0,0.0,0,1647.59,0.1364445,0.0,0.0,1.0,0.0,0.1214972,1.0,0.02507074,0,0,0.00016618695
compsvi14,pencil,bowl,0,1,1.0,0,0.23784960000000002,0.0,0.15151520000000002,0.7424242,0.0,0.08685314,0.05459262,0.6217138000000001,0.549188,0,0,0.7629459225
compsvi14,pencil,ball,0,0,0.0002047879,0,0.5404465,0.05306659,0.0,0.0,0.0,0.2161106,0.05564174,0.7690325,0.2161106,0,0,0.1282302325
compsvi14,pencil,table,0,0,0.9998040000000001,0,0.0006069473,0.09030789,0.0,1.0,0.0,0.0,0.1214972,0.02445689,1.0,0,0,0.9166295
compsvi14a,bowl,cube,0,0,0.0,0,4.690613,0.004303715,0.01350338,0.0,0.5141285,0.1066483,0.01537172,1.0,0.19375209999999998,0,1,0.01976201
compsvi14a,bowl,table,0,0,0.9983789000000001,0,0.0026217709999999997,9.715569e-06,0.09164792,1.0,0.0,0.0008749891,0.09696515,0.02331634,1.0,0,1,0.8393872000000001
compsvi14a,bowl,pear,0,0,0.0,0,1.171507,0.0,0.07739435,0.0,0.6594148,0.1826014,0.044584399999999996,0.7633495,0.44412029999999997,0,1,0.007043841
compsvi14a,cube,bowl,0,1,1.0,0,0.21319169999999998,0.0,0.375,0.5,0.0,0.5002459,0.01537172,0.19375209999999998,1.0,0,0,0.7126927675
compsvi14a,cube,table,0,0,1.0,0,0.0005589399,0.04132503,0.0,1.0,0.0,0.0,0.1068057,0.004465515,1.0,0,0,0.84833845
compsvi14a,cube,pear,0,0,0.3159795,0,0.2497556,0.001779929,0.25,0.0,0.25,0.32750559999999995,0.05681968,0.1248724,0.3749706,0,0,0.19626601999999999
compsvi14a,table,bowl,0,1,0.0,0,381.4215,0.03753309,0.0,0.0,0.8066038000000001,2.294021e-06,0.09696515,1.0,0.02331634,0,0,0.0010969966
compsvi14a,table,cube,0,0,0.0,0,1789.101,0.09591486,0.0,0.0,1.0,0.0,0.1068057,1.0,0.004516676,0,0,0.0019520368
compsvi14a,table,pear,0,0,0.0,0,446.838,0.07296778,0.0,0.0,1.0,0.0,0.11120230000000003,1.0,0.01356196,0,0,0.000620415825
compsvi14a,pear,bowl,0,1,1.0,0,0.8536013000000001,0.0008662348,0.18040620000000002,0.9772999,0.0,0.21391880000000002,0.044584399999999996,0.44412029999999997,0.7633495,0,0,0.8644363500000001
compsvi14a,pear,cube,0,0,1.0,0,4.003914,9.134279000000001e-05,0.05615293,0.17801670000000006,0.0,0.08179636,0.05681968,0.3749706,0.1248724,0,0,0.5194009
compsvi14a,pear,table,0,0,1.0,0,0.002237947,0.08625048,0.0,1.0,0.0,0.0,0.11120230000000003,0.01336122,1.0,0,0,0.88662335
compsvi15,jar,pencil,0,0,6.961167e-05,0,86.19801,0.0009534518,0.006392045,0.0,0.9616476999999999,1.638442e-05,0.08432933,0.6261827,0.08891699,0,1,0.000272834625
compsvi15,jar,table,0,0,1.0,0,0.006007574,0.0,0.37784090000000004,0.8125,0.0,4.663534000000002e-05,0.2989432,0.02347524,1.0,0,1,0.755155125
compsvi15,jar,box,0,1,8.531772e-06,0,0.1436142,0.00034427970000000004,0.2365057,0.0,0.1875,0.1442156,0.2859237,0.04056109,0.1442197,0,1,0.19036946715000003
compsvi15,jar,pear,0,0,1.594457e-05,0,0.5025644,0.2462833,0.0,0.0,0.0,0.0,0.4750187,0.0,0.0,0,1,0.003894300475
compsvi15,pencil,jar,0,1,0.3262691,0,0.0116012,4.887581e-06,0.3939394000000001,0.9015151,0.0,0.001412305,0.08432933,0.08891699,0.6261827,0,0,1.0
compsvi15,pencil,table,0,0,0.9999935999999999,0,6.969504e-05,0.2095702,0.0,1.0,0.0,0.0,0.3818812,0.0031455470000000003,1.0,0,0,0.842887375
compsvi15,pencil,box,0,1,0.0,0,0.0016660960000000002,0.0,0.40909090000000004,0.0,0.0,0.47576709999999994,0.2159266,0.01900041,0.47576709999999994,0,0,0.25209464825
compsvi15,pencil,pear,0,0,0.0,0,0.005830348000000001,0.11908039999999999,0.0,0.0,0.0,0.0,0.4135448000000001,0.0,0.0,0,0,0.007498035750000001
compsvi15,table,jar,0,1,0.0,0,166.4565,0.02959409,0.0,0.0,0.8066038000000001,2.801653e-07,0.2989432,1.0,0.02347524,0,0,0.0028817787500000002
compsvi15,table,pencil,0,0,0.0,0,14348.22,0.2457467,0.0,0.0,1.0,0.0,0.3818812,1.0,0.003330028,0,0,0.0001103487
compsvi15,table,box,0,1,0.0,0,23.90552000000001,0.09205052,0.0,0.0,0.8066038000000001,3.8874559999999996e-07,0.5484848000000001,1.0,0.08346897,0,0,0.0008127522
compsvi15,table,pear,0,0,0.0,0,83.65514,0.19664920000000002,0.0,0.0,0.5613208000000001,0.0001324896,0.7015948000000001,1.0,0.02998302,0,0,0.001942963445
compsvi15,box,jar,0,1,0.0,0,6.9631,0.04466079,0.0,0.05479452,0.0,0.02071141,0.2859237,0.1442197,0.04056109,0,1,0.18829041149999995
compsvi15,box,pencil,0,0,0.0,0,600.2054,0.1210472,0.0,0.05479452,0.9452055,0.0007926739,0.2159266,0.47576709999999994,0.01900041,0,1,0.00011997643500000001
compsvi15,box,table,0,0,0.9999943000000001,0,0.04183134,0.0,0.25479450000000003,0.9849315000000001,0.0,9.293168e-06,0.5484848000000001,0.08346897,1.0,0,1,0.606216125
compsvi15,box,pear,0,0,0.0,0,3.4994059999999996,0.01636798,0.0,0.05479452,0.0,0.2825989,0.2013016,1.0,0.3592116,0,1,0.0006903160999999999
compsvi15,pear,jar,0,1,0.0049853070000000005,0,1.9897939999999998,0.2250779,0.0,0.40740740000000003,0.0,0.0,0.4750187,0.0,0.0,0,0,0.42303772500000003
compsvi15,pear,pencil,0,0,0.01845405,0,171.5163,0.1425411,0.0,0.3751493,0.5925925999999999,0.0,0.4135448000000001,0.0,0.0,0,0,0.007035174
compsvi15,pear,table,0,0,1.0,0,0.01195384,0.01029468,0.0,1.0,0.0,0.01108344,0.7015948000000001,0.02998302,1.0,0,0,0.88032215
compsvi15,pear,box,0,1,0.11832830000000001,0,0.2857628,0.0,1.0,0.0,0.0,0.9889283000000001,0.2013016,0.3592116,1.0,0,0,0.977040875
compsvi16,table,bowl,0,1,0.0,0,414.5072,0.01875905,0.0,0.0,0.8066038000000001,4.7189339999999995e-06,0.05710188,1.0,0.02138015,0,0,0.000425295575
compsvi16,table,pear,0,0,0.0,0,1127.654,0.02076101,0.0,0.0,0.5613208000000001,2.647772e-05,0.20931929999999999,1.0,0.0051270000000000005,0,0,0.0007310518050000001
compsvi16,table,pencil,0,0,0.0,0,644.5428,0.09694713,0.0,0.0,1.0,0.0,0.01305065,1.0,0.01314948,0,0,0.0005332790250000001
compsvi16,bowl,table,0,0,0.9984122,0,0.002412503,1.40667e-05,0.09164792,1.0,0.0,0.001956032,0.05710188,0.02138015,1.0,0,1,0.908693125
compsvi16,bowl,pear,0,0,0.0,0,2.720469,0.0,0.02813203,0.0,0.0,0.02403341,0.15984479999999998,0.10022189999999999,0.02403341,0,1,0.018316026225000004
compsvi16,bowl,pencil,0,0,0.0,0,1.5549620000000002,0.0021927970000000002,0.007126782,0.0,0.5383846,0.2313552,0.06492341,0.7048753000000001,0.43361239999999995,0,1,0.00832143625
compsvi16,pear,table,0,0,1.0,0,0.0008867969,0.0,0.06212664,0.9964158000000001,0.0,0.02985771,0.20931929999999999,0.0051270000000000005,1.0,0,0,0.6969312
compsvi16,pear,bowl,0,1,0.0,0,0.3675837,0.0,0.06451613,0.3918757,0.003584229000000001,0.06538215,0.15984479999999998,0.02403341,0.10022189999999999,0,0,0.8056847
compsvi16,pear,pencil,0,0,0.03472636,0,0.5715786,0.07885417,0.0,0.0,0.1827957,0.0,0.2110732,0.0,0.0,0,0,0.11359792499999999
compsvi16,pencil,table,0,0,1.0,0,0.001551487,0.05061805,0.0,1.0,0.0,0.0,0.01305065,0.01299481,1.0,0,0,0.8315477499999999
compsvi16,pencil,bowl,0,1,1.0,0,0.6431026,0.0,0.22727270000000002,0.5909091,0.0,0.3597485,0.06492341,0.43361239999999995,0.7048753000000001,0,0,0.8847683
compsvi16,pencil,pear,0,0,0.00019590150000000001,0,1.749541,0.06842723,0.0,0.04545455,0.0,0.0,0.2110732,0.0,0.0,0,0,0.16818416249999998
compsvi23,table,box,0,1,0.0,0,54.704409999999996,0.001158327,0.009433961999999999,0.7704403000000001,0.22012579999999998,0.01828006,0.8099546,1.0,0.04792222,0,0,0.2516110353
compsvi23,table,box (1),0,1,0.0,0,30.852209999999996,0.1993603,0.0,0.7704403000000001,0.0,0.03241254,0.6019257,1.0,0.08028479,0,0,0.00016517420000000002
compsvi23,box,table,0,0,1.0,0,0.01828006,0.0,0.139726,0.0,0.0,1.0,0.8099546,0.04792222,1.0,0,1,0.956343975
compsvi23,box,box (1),0,1,0.0,0,0.5639801999999999,0.8834506999999999,0.0,0.7452055000000001,0.0,0.0,0.22187199999999999,0.0,0.0,0,1,0.05499674949999999
compsvi23,box (1),table,0,0,0.0,0,0.03241259,0.07052559,0.0,0.0,0.05172414,0.9999985,0.6019257,0.08028479,1.0,0,1,0.000437395802
compsvi23,box (1),box,0,1,0.0,0,1.7731119999999998,0.8830811,0.0,0.0,0.637931,0.0,0.22187199999999999,0.0,0.0,0,1,0.1158371093175
