Number of Native English users: 29
Scene,Number of Users Annotating,Selection Info
compsvo24v,3,"[[['on top of', 'board', 3], ['jar', 0], ['table', 0], ['clock', 1], ['none', 2]], [['over', 'board', 1], ['jar', 0], ['table', 0], ['clock', 0], ['none', 1]], [['above', 'board', 2], ['jar', 0], ['table', 0], ['clock', 0], ['none', 2]], [['in', 'board', 3], ['jar', 0], ['table', 0], ['clock', 0], ['none', 3]], [['below', 'board', 2], ['jar', 1], ['table', 1], ['clock', 0]], [['on', 'board', 3], ['jar', 0], ['table', 0], ['clock', 3]], [['under', 'board', 1], ['jar', 0], ['table', 1], ['clock', 0]]]"
compsvo68a,5,"[[['on top of', 'table', 2], ['balloon', 1], ['box', 0], ['none', 1]], [['over', 'table', 2], ['balloon', 1], ['box', 0], ['none', 1]], [['above', 'table', 3], ['balloon', 2], ['box', 0], ['none', 1]], [['in', 'table', 4], ['balloon', 0], ['box', 0], ['none', 4]], [['below', 'table', 3], ['balloon', 0], ['box', 1], ['none', 2]], [['on', 'table', 3], ['balloon', 1], ['box', 0], ['none', 2]], [['against', 'table', 2], ['balloon', 0], ['box', 2]], [['inside', 'table', 4], ['balloon', 0], ['box', 0], ['none', 4]], [['under', 'table', 2], ['balloon', 0], ['box', 0], ['none', 2]]]"
compsvu25a,5,"[[['on top of', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['over', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['above', 'balloon', 5], ['box', 0], ['table', 0], ['none', 5]], [['in', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['below', 'balloon', 3], ['box', 0], ['table', 3]], [['on', 'balloon', 4], ['box', 0], ['table', 0], ['none', 4]], [['inside', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['under', 'balloon', 1], ['box', 0], ['table', 1]]]"
compsvo14a,3,"[[['on top of', 'table', 3], ['box', 3], ['book', 0]], [['over', 'table', 2], ['box', 0], ['book', 2]], [['above', 'table', 1], ['box', 1], ['book', 0]], [['in', 'table', 1], ['box', 0], ['book', 0], ['none', 1]], [['below', 'table', 3], ['box', 0], ['book', 0], ['none', 3]], [['on', 'table', 2], ['box', 1], ['book', 0], ['none', 1]], [['against', 'table', 1], ['box', 0], ['book', 0], ['none', 1]], [['under', 'table', 2], ['box', 0], ['book', 0], ['none', 2]]]"
compsva14,7,"[[['on top of', 'box', 2], ['book', 2], ['table', 0]], [['over', 'box', 5], ['book', 1], ['table', 4]], [['above', 'box', 3], ['book', 2], ['table', 1]], [['in', 'box', 5], ['book', 0], ['table', 0], ['none', 5]], [['below', 'box', 4], ['book', 0], ['table', 0], ['none', 4]], [['on', 'box', 3], ['book', 3], ['table', 0]], [['against', 'box', 4], ['book', 0], ['table', 0], ['none', 4]], [['inside', 'box', 5], ['book', 0], ['table', 0], ['none', 5]], [['under', 'box', 4], ['book', 0], ['table', 0], ['none', 4]]]"
compsvo89,4,"[[['on top of', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['over', 'table', 1], ['box', 0], ['box (1)', 0], ['none', 1]], [['above', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['in', 'table', 3], ['box', 0], ['box (1)', 0], ['none', 3]], [['below', 'table', 3], ['box', 0], ['box (1)', 0], ['none', 3]], [['on', 'table', 3], ['box', 0], ['box (1)', 0], ['none', 3]], [['against', 'table', 3], ['box', 3], ['box (1)', 0]], [['inside', 'table', 2], ['box', 0], ['box (1)', 0], ['none', 2]], [['under', 'table', 1], ['box', 0], ['box (1)', 0], ['none', 1]]]"
compsvo24,3,"[[['on top of', 'table', 2], ['pear', 1], ['book', 1]], [['above', 'table', 2], ['pear', 1], ['book', 1]], [['in', 'table', 2], ['pear', 0], ['book', 0], ['none', 2]], [['below', 'table', 2], ['pear', 0], ['book', 0], ['none', 2]], [['on', 'table', 1], ['pear', 0], ['book', 1]], [['inside', 'table', 2], ['pear', 0], ['book', 0], ['none', 2]], [['under', 'table', 2], ['pear', 0], ['book', 0], ['none', 2]]]"
compsvo19,5,"[[['on top of', 'table', 3], ['box', 0], ['book', 3]], [['over', 'table', 3], ['box', 0], ['book', 1], ['none', 2]], [['above', 'table', 5], ['box', 0], ['book', 3], ['none', 2]], [['in', 'table', 4], ['box', 0], ['book', 0], ['none', 4]], [['below', 'table', 1], ['box', 1], ['book', 0]], [['on', 'table', 4], ['box', 0], ['book', 4]], [['against', 'table', 3], ['box', 1], ['book', 0], ['none', 2]], [['under', 'table', 2], ['box', 1], ['book', 0], ['none', 1]]]"
compsvo28,6,"[[['on top of', 'table', 3], ['box', 0], ['book', 3]], [['over', 'table', 1], ['box', 0], ['book', 0], ['none', 1]], [['above', 'table', 4], ['box', 0], ['book', 3], ['none', 1]], [['in', 'table', 4], ['box', 0], ['book', 0], ['none', 4]], [['below', 'table', 4], ['box', 2], ['book', 0], ['none', 2]], [['on', 'table', 3], ['box', 0], ['book', 3]], [['against', 'table', 5], ['box', 4], ['book', 0], ['none', 1]], [['inside', 'table', 3], ['box', 0], ['book', 0], ['none', 3]], [['under', 'table', 3], ['box', 2], ['book', 0], ['none', 1]]]"
compsvu67,3,"[[['on top of', 'balloon', 1], ['box', 0], ['table', 0], ['none', 1]], [['over', 'balloon', 3], ['box', 0], ['table', 0], ['none', 3]], [['above', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['in', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['below', 'balloon', 1], ['box', 1], ['table', 0]], [['on', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['against', 'balloon', 1], ['box', 0], ['table', 0], ['none', 1]], [['inside', 'balloon', 2], ['box', 0], ['table', 0], ['none', 2]], [['under', 'balloon', 1], ['box', 0], ['table', 0], ['none', 1]]]"
compsvo68,4,"[[['on top of', 'table', 1], ['balloon', 0], ['box', 0], ['none', 1]], [['over', 'table', 2], ['balloon', 2], ['box', 0]], [['above', 'table', 3], ['balloon', 3], ['box', 0]], [['in', 'table', 1], ['balloon', 0], ['box', 0], ['none', 1]], [['below', 'table', 2], ['balloon', 0], ['box', 0], ['none', 2]], [['on', 'table', 3], ['balloon', 0], ['box', 0], ['none', 3]], [['against', 'table', 4], ['balloon', 0], ['box', 4]], [['inside', 'table', 2], ['balloon', 0], ['box', 0], ['none', 2]], [['under', 'table', 2], ['balloon', 0], ['box', 1], ['none', 1]]]"
compsvula,3,"[[['on top of', 'lamp', 1], ['pencil', 0], ['bowl', 0], ['table', 0], ['none', 1]], [['over', 'lamp', 1], ['pencil', 1], ['bowl', 0], ['table', 0]], [['above', 'lamp', 3], ['pencil', 0], ['bowl', 0], ['table', 0], ['none', 3]], [['in', 'lamp', 1], ['pencil', 0], ['bowl', 0], ['table', 0], ['none', 1]], [['below', 'lamp', 1], ['pencil', 0], ['bowl', 0], ['table', 1]], [['on', 'lamp', 3], ['pencil', 3], ['bowl', 0], ['table', 0]], [['against', 'lamp', 1], ['pencil', 1], ['bowl', 0], ['table', 0]], [['inside', 'lamp', 1], ['pencil', 0], ['bowl', 0], ['table', 0], ['none', 1]], [['under', 'lamp', 3], ['pencil', 0], ['bowl', 0], ['table', 3]]]"
compsva24,4,"[[['on top of', 'bin', 3], ['picture', 3], ['table', 0]], [['over', 'bin', 3], ['picture', 0], ['table', 2], ['none', 1]], [['above', 'bin', 2], ['picture', 1], ['table', 1]], [['in', 'bin', 1], ['picture', 0], ['table', 0], ['none', 1]], [['below', 'bin', 2], ['picture', 0], ['table', 0], ['none', 2]], [['on', 'bin', 2], ['picture', 2], ['table', 0]], [['against', 'bin', 2], ['picture', 1], ['table', 0], ['none', 1]], [['inside', 'bin', 3], ['picture', 1], ['table', 0], ['none', 2]], [['under', 'bin', 2], ['picture', 0], ['table', 0], ['none', 2]]]"
compsvi26,6,"[[['on top of', 'cup', 3], ['table', 0], ['cube', 0], ['pencil', 0], ['none', 3]], [['over', 'cup', 3], ['table', 0], ['cube', 0], ['pencil', 0], ['none', 3]], [['above', 'cup', 5], ['table', 0], ['cube', 0], ['pencil', 0], ['none', 5]], [['in', 'cup', 2], ['table', 0], ['cube', 0], ['pencil', 0], ['none', 2]], [['below', 'cup', 3], ['table', 1], ['cube', 1], ['pencil', 0], ['none', 1]], [['on', 'cup', 2], ['table', 0], ['cube', 2], ['pencil', 0]], [['against', 'cup', 3], ['table', 0], ['cube', 3], ['pencil', 0]], [['inside', 'cup', 5], ['table', 0], ['cube', 0], ['pencil', 0], ['none', 5]], [['under', 'cup', 4], ['table', 0], ['cube', 2], ['pencil', 0], ['none', 2]]]"
compsvu34,3,"[[['on top of', 'book (1)', 1], ['picture', 0], ['table', 0], ['none', 1]], [['over', 'book (1)', 1], ['picture', 0], ['table', 0], ['none', 1]], [['above', 'book (1)', 3], ['picture', 0], ['table', 0], ['none', 3]], [['in', 'book (1)', 2], ['picture', 0], ['table', 0], ['none', 2]], [['below', 'book (1)', 2], ['picture', 2], ['table', 0]], [['on', 'book (1)', 2], ['picture', 0], ['table', 0], ['none', 2]], [['against', 'book (1)', 1], ['picture', 1], ['table', 0]], [['inside', 'book (1)', 1], ['picture', 0], ['table', 0], ['none', 1]], [['under', 'book (1)', 2], ['picture', 2], ['table', 0]]]"
compsva15,4,"[[['on top of', 'book', 2], ['balloon', 0], ['table', 0], ['pear', 2]], [['over', 'book', 1], ['balloon', 1], ['table', 0], ['pear', 0]], [['above', 'book', 2], ['balloon', 1], ['table', 0], ['pear', 1]], [['in', 'book', 1], ['balloon', 0], ['table', 0], ['pear', 0], ['none', 1]], [['below', 'book', 3], ['balloon', 0], ['table', 3], ['pear', 0]], [['on', 'book', 3], ['balloon', 0], ['table', 0], ['pear', 3]], [['against', 'book', 1], ['balloon', 0], ['table', 0], ['pear', 0], ['none', 1]], [['inside', 'book', 3], ['balloon', 0], ['table', 0], ['pear', 0], ['none', 3]], [['under', 'book', 4], ['balloon', 0], ['table', 3], ['pear', 0], ['none', 1]]]"
compsvi24,4,"[[['on top of', 'cup', 3], ['table', 0], ['cube', 0], ['pencil', 3]], [['over', 'cup', 3], ['table', 0], ['cube', 0], ['pencil', 1], ['none', 2]], [['above', 'cup', 3], ['table', 0], ['cube', 0], ['pencil', 2], ['none', 1]], [['in', 'cup', 2], ['table', 0], ['cube', 0], ['pencil', 0], ['none', 2]], [['below', 'cup', 1], ['table', 0], ['cube', 1], ['pencil', 0]], [['on', 'cup', 1], ['table', 0], ['cube', 0], ['pencil', 1]], [['against', 'cup', 1], ['table', 0], ['cube', 1], ['pencil', 0]], [['inside', 'cup', 3], ['table', 0], ['cube', 0], ['pencil', 0], ['none', 3]], [['under', 'cup', 3], ['table', 2], ['cube', 1], ['pencil', 0]]]"
compsvi13,5,"[[['on top of', 'mug', 4], ['table', 0], ['pencil (1)', 0], ['pencil', 0], ['none', 4]], [['over', 'mug', 1], ['table', 0], ['pencil (1)', 0], ['pencil', 0], ['none', 1]], [['above', 'mug', 4], ['table', 0], ['pencil (1)', 0], ['pencil', 0], ['none', 4]], [['in', 'mug', 3], ['table', 0], ['pencil (1)', 3], ['pencil', 0]], [['below', 'mug', 3], ['table', 0], ['pencil (1)', 0], ['pencil', 0], ['none', 3]], [['on', 'mug', 1], ['table', 0], ['pencil (1)', 0], ['pencil', 0], ['none', 1]], [['against', 'mug', 2], ['table', 0], ['pencil (1)', 0], ['pencil', 2]], [['inside', 'mug', 3], ['table', 0], ['pencil (1)', 2], ['pencil', 0], ['none', 1]], [['under', 'mug', 4], ['table', 0], ['pencil (1)', 0], ['pencil', 0], ['none', 4]]]"
compsvo13v,5,"[[['on top of', 'board', 2], ['jar', 0], ['book', 2], ['table', 0]], [['over', 'board', 4], ['jar', 0], ['book', 0], ['table', 0], ['none', 4]], [['above', 'board', 3], ['jar', 0], ['book', 2], ['table', 0], ['none', 1]], [['in', 'board', 2], ['jar', 0], ['book', 0], ['table', 0], ['none', 2]], [['below', 'board', 4], ['jar', 0], ['book', 0], ['table', 3], ['none', 1]], [['on', 'board', 2], ['jar', 0], ['book', 2], ['table', 0]], [['against', 'board', 3], ['jar', 3], ['book', 0], ['table', 0]], [['inside', 'board', 5], ['jar', 0], ['book', 0], ['table', 0], ['none', 5]]]"
compsvi14a,3,"[[['on top of', 'bowl', 1], ['cube', 0], ['table', 0], ['pear', 1]], [['over', 'bowl', 3], ['cube', 0], ['table', 0], ['pear', 2], ['none', 1]], [['above', 'bowl', 1], ['cube', 0], ['table', 0], ['pear', 0], ['none', 1]], [['in', 'bowl', 2], ['cube', 2], ['table', 0], ['pear', 0]], [['below', 'bowl', 1], ['cube', 0], ['table', 0], ['pear', 0], ['none', 1]], [['on', 'bowl', 1], ['cube', 1], ['table', 0], ['pear', 0]], [['against', 'bowl', 3], ['cube', 1], ['table', 0], ['pear', 0], ['none', 2]], [['inside', 'bowl', 1], ['cube', 1], ['table', 0], ['pear', 0]], [['under', 'bowl', 2], ['cube', 0], ['table', 2], ['pear', 0]]]"
compsvi25,3,"[[['on top of', 'box', 1], ['jar', 0], ['pencil', 0], ['table', 0], ['pencil (1)', 0], ['none', 1]], [['over', 'box', 3], ['jar', 0], ['pencil', 1], ['table', 0], ['pencil (1)', 0], ['none', 2]], [['above', 'box', 2], ['jar', 0], ['pencil', 0], ['table', 0], ['pencil (1)', 0], ['none', 2]], [['in', 'box', 3], ['jar', 0], ['pencil', 1], ['table', 0], ['pencil (1)', 0], ['none', 2]], [['on', 'box', 1], ['jar', 0], ['pencil', 0], ['table', 0], ['pencil (1)', 1]], [['inside', 'box', 3], ['jar', 0], ['pencil', 1], ['table', 0], ['pencil (1)', 0], ['none', 2]], [['under', 'box', 2], ['jar', 0], ['pencil', 0], ['table', 1], ['pencil (1)', 0], ['none', 1]]]"
compsvo26,6,"[[['on top of', 'table', 1], ['balloon', 0], ['book', 1]], [['over', 'table', 4], ['balloon', 4], ['book', 0]], [['above', 'table', 3], ['balloon', 3], ['book', 0]], [['in', 'table', 4], ['balloon', 0], ['book', 0], ['none', 4]], [['below', 'table', 4], ['balloon', 0], ['book', 0], ['none', 4]], [['on', 'table', 3], ['balloon', 0], ['book', 3]], [['against', 'table', 3], ['balloon', 0], ['book', 1], ['none', 2]], [['inside', 'table', 5], ['balloon', 0], ['book', 0], ['none', 5]], [['under', 'table', 3], ['balloon', 0], ['book', 0], ['none', 3]]]"
compsvo14,3,"[[['on top of', 'table', 2], ['book (1)', 0], ['book', 2]], [['over', 'table', 2], ['book (1)', 0], ['book', 0], ['none', 2]], [['above', 'table', 2], ['book (1)', 0], ['book', 1], ['none', 1]], [['in', 'table', 2], ['book (1)', 0], ['book', 0], ['none', 2]], [['on', 'table', 2], ['book (1)', 0], ['book', 2]], [['against', 'table', 2], ['book (1)', 0], ['book', 0], ['none', 2]], [['inside', 'table', 3], ['book (1)', 0], ['book', 0], ['none', 3]]]"
compsvinew2,3,"[[['on top of', 'shelf', 1], ['mug', 0], ['table', 0], ['box', 0], ['none', 1]], [['over', 'shelf', 3], ['mug', 0], ['table', 0], ['box', 0], ['none', 3]], [['above', 'shelf', 3], ['mug', 0], ['table', 0], ['box', 0], ['none', 3]], [['in', 'shelf', 2], ['mug', 1], ['table', 0], ['box', 0], ['none', 1]], [['below', 'shelf', 3], ['mug', 0], ['table', 2], ['box', 1]], [['on', 'shelf', 2], ['mug', 1], ['table', 0], ['box', 0], ['none', 1]], [['under', 'shelf', 1], ['mug', 0], ['table', 0], ['box', 1]]]"
compsvinew1,4,"[[['on top of', 'plate', 1], ['table', 0], ['cube', 1], ['pencil', 0]], [['over', 'plate', 4], ['table', 0], ['cube', 1], ['pencil', 0], ['none', 3]], [['above', 'plate', 2], ['table', 0], ['cube', 1], ['pencil', 0], ['none', 1]], [['in', 'plate', 3], ['table', 0], ['cube', 2], ['pencil', 0], ['none', 1]], [['below', 'plate', 4], ['table', 3], ['cube', 0], ['pencil', 0], ['none', 1]], [['on', 'plate', 3], ['table', 0], ['cube', 3], ['pencil', 0]], [['against', 'plate', 1], ['table', 0], ['cube', 0], ['pencil', 1]], [['under', 'plate', 2], ['table', 0], ['cube', 0], ['pencil', 1], ['none', 1]]]"
