scene,preposition,ground,f1,f2,weight,parity,weak,lhs,rhs
compsva12,on,book,pear,table,3,False,False,"[1.6837178985981087, -0.602573893987224, 2.4845704466035174, 1.2428633263776436, -0.7484621051199398, 0.8867377279507779, -0.3987052496553391, -0.3276174737631435, 1.3267094437125526, -0.6759038050766987]","[-0.6282480394372745, -0.44680998891780904, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.35651210901705166, -0.3946916426754439, 1.4779347335894955, -0.7260425691786673, -0.8039198524168236]"
compsva13,on,book,pear,balloon,5,False,False,"[1.6837178985981087, -0.602573893987224, 0.001892861481618648, 1.2693591808962448, -0.7484621051199398, -0.3115826986384105, -0.40050100289203355, -0.7433671059063933, 1.5231088579503727, 0.014782098484513164]","[-0.6282480394372745, 1.2108034431575931, -0.4495031203312162, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, 1.3772712608516253, -0.910915443531762, -0.8760669938306926, -0.8053027946095308]"
compsva13,on,book,pear,table,5,False,False,"[1.6837178985981087, -0.602573893987224, 0.001892861481618648, 1.2693591808962448, -0.7484621051199398, -0.3115826986384105, -0.40050100289203355, -0.7433671059063933, 1.5231088579503727, 0.014782098484513164]","[-0.6282480394372745, -0.4431317918664132, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3568242574534793, -0.39468492761275836, 1.4779347335894955, -0.7256400834377724, -0.8047707881547586]"
compsva14,on,box,book,table,3,False,False,"[1.6837178985981087, -0.5930210140319722, 0.9840589501397987, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, -0.38349238761214527, 0.3594263481177093, 0.7532070892566141, 1.211665031212988]","[-0.6282480394372745, -0.3336080490040548, -0.4495031203312162, 0.8026561066590434, -0.7484621051199398, -0.20001154142321942, -0.3761119031465057, 1.4779347335894955, -0.6834457777324988, -0.7882001674365253]"
compsva15,on,book,pear,balloon,3,False,False,"[1.6837178985981087, -0.602573893987224, 0.001892861481618648, 1.2693591808962448, -0.7484621051199398, -0.3115826986384105, -0.40050100289203355, -0.7433671059063933, 1.5231088579503727, 0.034552583439894924]","[-0.6282480394372745, 0.6621464713628337, -0.4495031203312162, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, 1.3771991688826513, 0.6350719478954483, -0.15437666387847482, -0.8053027946095308]"
compsva15,on,book,pear,table,3,False,False,"[1.6837178985981087, -0.602573893987224, 0.001892861481618648, 1.2693591808962448, -0.7484621051199398, -0.3115826986384105, -0.40050100289203355, -0.7433671059063933, 1.5231088579503727, 0.034552583439894924]","[-0.6282480394372745, -0.4431317918664132, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3568242574534793, -0.39468492761275836, 1.4779347335894955, -0.7256400834377724, -0.8047148313159854]"
compsva23,on,book,box,balloon,1,False,False,"[1.6837178985981087, -0.5802597573252285, -0.3919965103872463, 1.1173234864958699, -0.7484621051199398, -0.31640877810193685, -0.3993863933848072, 0.9456654702243996, 0.20287669492993288, 1.576287047070345]","[-0.6282480394372745, 0.6636801276617424, -0.4495031203312162, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, 1.37720599088483, 0.6328949887290373, -0.1561765256024808, -0.8053027946095308]"
compsva23,on,book,box,table,1,False,False,"[1.6837178985981087, -0.5802597573252285, -0.3919965103872463, 1.1173234864958699, -0.7484621051199398, -0.31640877810193685, -0.3993863933848072, 0.9456654702243996, 0.20287669492993288, 1.576287047070345]","[-0.6282480394372745, -0.4426857864510439, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.356254668012022, -0.39468834598898545, 1.4779347335894955, -0.7257420004279561, -0.8036539827100867]"
compsva24,on,bin,picture,table,2,False,False,"[1.6837178985981087, -0.2108593256751787, -0.4495031203312162, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, -0.38666351972995766, 1.4779347335894955, 0.3336526516819114, -0.1879105766459476]","[-0.6282480394372745, -0.387744065621221, -0.4495031203312162, 0.8026561066590434, -0.7484621051199398, -0.1790970453566087, -0.3917525637274314, 1.359682111006657, -0.7066944874972544, -0.7990253522920698]"
compsva25,on,bin,picture,table,1,False,False,"[1.3738814017884535, -0.23279427277511766, -0.4495031203312162, 0.8682109144677286, -0.7484621051199398, -0.10097160385772859, -0.38741601422708205, 1.4779347335894955, 0.31720078311349315, 0.06328040692011759]","[-0.6282480394372745, -0.33643604090835166, -0.4495031203312162, 0.8026561066590434, -0.7484621051199398, -0.30817898487685963, -0.38672050004221287, -0.28493970980880134, -0.8294903295227972, -0.8013114815433261]"
compsvi12,on,cup,pencil,table,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.412757657805914, 0.4045081785115099, -0.7484621051199398, 1.9900645039075768, -0.4015535290449964, 0.2737700639717257, 1.02542573859759, 1.2786349232808496]","[-0.6282480394372745, -0.5299117194261036, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.40086257066693376, 1.4779347335894955, -0.845032142707118, -0.7598571204721695]"
compsvi12,on,cup,pencil,cube,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.412757657805914, 0.4045081785115099, -0.7484621051199398, 1.9900645039075768, -0.4015535290449964, 0.2737700639717257, 1.02542573859759, 1.2786349232808496]","[0.28855026226437286, -0.602573893987224, 3.048815686243471, -0.9059561524155018, -0.7484621051199398, 1.9493280575188372, -0.40072889629991015, -0.5704806436752293, 0.2541665162068937, 1.8432595489531811]"
compsvi12,on,table,cup,pencil,2,False,False,"[1.6788126004673793, -0.5830572548103938, 0.024028543696596127, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, -0.40086257066693376, -0.8791779922875893, 1.5231088579503727, 0.8751344621401598]","[1.6184520249537448, -0.33342178373665343, -0.4495031203312162, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, -0.40132335284768794, -0.8805357191742579, 1.5231088579503727, 0.9237697475987677]"
compsvi12,on,table,cup,cube,2,False,False,"[1.6788126004673793, -0.5830572548103938, 0.024028543696596127, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, -0.40086257066693376, -0.8791779922875893, 1.5231088579503727, 0.8751344621401598]","[1.680237696271584, -0.5798809339657265, 1.2996562829561276, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, -0.39943293050237516, -0.9009515040548359, 1.5231088579503727, 1.4278986269958416]"
compsvi14,on,bowl,pencil,ball,1,False,False,"[1.6837178985981087, -0.602573893987224, 0.6105938269526342, 0.7405245542059091, -0.7484621051199398, 0.06817167142220154, -0.4011162352021234, 0.5742656777169683, 0.44153159385724705, 1.2154070458986845]","[-0.05201642340046122, -0.602573893987224, 2.743137486571305, -0.5614577057452173, -0.7484621051199398, 3.1819072641816097, -0.40210918036653553, -0.15095698657965467, 1.5231088579503727, 1.221108877533312]"
compsvi14,on,bowl,pencil,table,1,False,False,"[1.6837178985981087, -0.602573893987224, 0.6105938269526342, 0.7405245542059091, -0.7484621051199398, 0.06817167142220154, -0.4011162352021234, 0.5742656777169683, 0.44153159385724705, 1.2154070458986845]","[-0.6282480394372745, -0.47343335408452614, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3569196137454828, -0.4011621133511566, 1.4779347335894955, -0.8229110455926996, -0.802639558303588]"
compsvi14a,on,bowl,cube,table,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.1742359845997994, 0.20289826438651715, -0.7484621051199398, 2.0920581239121403, -0.4018285263497571, -0.44807070512914643, 1.5231088579503727, 1.082308431920464]","[-0.6282480394372745, -0.49261618644949345, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570323175499042, -0.4010707232286667, 1.4779347335894955, -0.8201269939507758, -0.8023973307237545]"
compsvi14a,on,bowl,cube,pear,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.1742359845997994, 0.20289826438651715, -0.7484621051199398, 2.0920581239121403, -0.4018285263497571, -0.44807070512914643, 1.5231088579503727, 1.082308431920464]","[1.6837178985981087, -0.6000361548136733, 0.8127336842341327, 1.261410468894841, -0.7484621051199398, 0.6902591696422785, -0.4013988023480048, 0.15002141378638398, 0.9553426930384576, 1.484210770407266]"
compsvi15,on,box,jar,pencil,1,False,False,"[-0.6282283142710193, -0.6015652851419684, 1.205241556013006, -0.9059561524155018, -0.30167844692794665, 0.34900655028049604, -0.3903380455447842, -0.8140210765010307, -0.530058572239583, -0.30109739255194207]","[-0.6282480394372745, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9722149227559058, -0.38980941965862914, -0.8655263107378854, 0.2653819435612145, -0.13761440224089333]"
compsvi15,on,box,jar,table,1,False,False,"[-0.6282283142710193, -0.6015652851419684, 1.205241556013006, -0.9059561524155018, -0.30167844692794665, 0.34900655028049604, -0.3903380455447842, -0.8140210765010307, -0.530058572239583, -0.30109739255194207]","[-0.6282480394372745, -0.3329008093342945, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570416453888105, -0.39059051862651223, 1.4779347335894955, -0.6758102566336546, -0.8031501697379632]"
compsvi15,on,box,pear,pencil,1,False,False,"[-0.3546770403316422, -0.602573893987224, 6.5471344928181585, -0.9059561524155018, -0.7484621051199398, 4.484547264095121, -0.3905531266794331, -0.05281274924775162, 1.5231088579503727, 1.782450875037032]","[-0.6282480394372745, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9722149227559058, -0.38980941965862914, -0.8655263107378854, 0.2653819435612145, -0.13761440224089333]"
compsvi15,on,box,pear,table,1,False,False,"[-0.3546770403316422, -0.602573893987224, 6.5471344928181585, -0.9059561524155018, -0.7484621051199398, 4.484547264095121, -0.3905531266794331, -0.05281274924775162, 1.5231088579503727, 1.782450875037032]","[-0.6282480394372745, -0.3329008093342945, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570416453888105, -0.39059051862651223, 1.4779347335894955, -0.6758102566336546, -0.8031501697379632]"
compsvi16,on,bowl,pencil,table,2,False,False,"[1.6837178985981087, -0.602573893987224, 1.140641600930798, 0.4045081785115099, -0.7484621051199398, 1.404211572196866, -0.40095943166641446, 0.1249196150102115, 0.8150528044462415, 1.5380612075484656]","[-0.6282480394372745, -0.547616997723536, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570204456715259, -0.3997411651548879, 1.4779347335894955, -0.8247722542432357, -0.804176372764702]"
compsvi16,on,bowl,pencil,pear,2,False,False,"[1.6837178985981087, -0.602573893987224, 1.140641600930798, 0.4045081785115099, -0.7484621051199398, 1.404211572196866, -0.40095943166641446, 0.1249196150102115, 0.8150528044462415, 1.5380612075484656]","[-0.6282480394372745, -0.602573893987224, 0.001892861481618648, -0.03688995085073594, -0.7399214387497114, -0.036945906792150686, -0.39928500552593466, -0.8535032277964343, -0.635617031531076, 1.3286033625950897]"
compsvi23,on,table,box,box (1),2,False,False,"[1.6837178985981087, -0.602573893987224, 0.5281090668036933, -0.9059561524155018, -0.7484621051199398, 4.538752044159563, -0.38864969035088215, -0.7964364397967181, 1.5231088579503727, 1.727633845068549]","[-0.6282480394372745, -0.3959606841730068, -0.4495031203312162, -0.9059561524155018, -0.6252114358610876, 4.538744700466174, -0.3923947003547098, -0.7191271087201191, 1.5231088579503727, -0.8041443245591213]"
compsvi24,on,cup,pencil,table,1,False,False,"[1.6837178985981087, -0.5773736827661422, 0.0805452133779567, 0.7405245542059091, -0.7484621051199398, -0.33551577091467577, -0.4015334819462685, 0.9899836575953708, 0.10716013481761615, 1.8432595489531811]","[-0.6282480394372745, -0.5497743409173341, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.40079156450257675, 1.4779347335894955, -0.8455874079662542, -0.7382870490412398]"
compsvi24,on,cup,pencil,cube,1,False,False,"[1.6837178985981087, -0.5773736827661422, 0.0805452133779567, 0.7405245542059091, -0.7484621051199398, -0.33551577091467577, -0.4015334819462685, 0.9899836575953708, 0.10716013481761615, 1.8432595489531811]","[-0.0018490745110315144, -0.5992838364883207, 1.2996562829561276, -0.9059561524155018, -0.4506063329919444, 1.858821442713584, -0.4007160725952193, -0.5623750361392391, 0.21251010572758927, 1.8432595489531811]"
compsvi24a,on,cup,pear,table,1,False,False,"[1.658870738268855, -0.602573893987224, 0.46164800611638757, 0.8851681815221152, -0.7484621051199398, 0.350671120782037, -0.39904518449257237, 1.4779347335894955, 0.0783016480844676, 1.6362084526014005]","[-0.6282480394372745, -0.5498372105719178, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.40053696350930423, 1.4779347335894955, -0.8455286041661271, -0.7201865047589698]"
compsvi24a,on,cup,pear,cube,1,False,False,"[1.658870738268855, -0.602573893987224, 0.46164800611638757, 0.8851681815221152, -0.7484621051199398, 0.350671120782037, -0.39904518449257237, 1.4779347335894955, 0.0783016480844676, 1.6362084526014005]","[0.3039003289133649, -0.599122666349585, 3.923395387887143, -0.9059561524155018, -0.7484621051199398, 2.533492918909162, -0.40088480357203554, -0.6306029860479994, 0.5404352191710695, 1.7367123222135787]"
compsvi25,on,box,pencil (1),jar,1,False,False,"[1.6837178985981087, -0.5053391764540857, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 1.4162092088765017, -0.39585257413060193, -0.6551023168095018, -0.00708765957385744, 1.8432595489531811]","[-0.6282480394372745, -0.602573893987224, 1.28474854719379, -0.9059561524155018, -0.2949090192236393, 0.3861837532732935, -0.3969216003099164, -0.8067330768266621, -0.5095698503829579, -0.1571818854868902]"
compsvi25,on,box,pencil (1),pencil,1,False,False,"[1.6837178985981087, -0.5053391764540857, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 1.4162092088765017, -0.39585257413060193, -0.6551023168095018, -0.00708765957385744, 1.8432595489531811]","[-0.6169813970835976, -0.602573893987224, 2.412757657805914, -0.9059561524155018, -0.7484621051199398, 1.9631802215690135, -0.3981866963632123, -0.8651066853157724, 0.26095450444433793, 1.4064229578752392]"
compsvi25,on,box,pencil (1),table,1,False,False,"[1.6837178985981087, -0.5053391764540857, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 1.4162092088765017, -0.39585257413060193, -0.6551023168095018, -0.00708765957385744, 1.8432595489531811]","[-0.6282480394372745, -0.3398235903161663, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.39069916362067586, 1.4779347335894955, -0.6761177829943358, -0.8036004921463539]"
compsvi26,on,cup,cube,table,2,False,False,"[0.021745000279807237, -0.5950595845540027, 1.2996562829561276, -0.9059561524155018, -0.4506063329919444, 1.8151994144024677, -0.4007037374933873, -0.5504498960550499, 0.19786337707005125, 1.609095450960642]","[-0.6282480394372745, -0.5499039180292744, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570434309565501, -0.4007382723122024, 1.4779347335894955, -0.8455949653701873, -0.783995601334171]"
compsvi26,on,cup,cube,pencil,2,False,False,"[0.021745000279807237, -0.5950595845540027, 1.2996562829561276, -0.9059561524155018, -0.4506063329919444, 1.8151994144024677, -0.4007037374933873, -0.5504498960550499, 0.19786337707005125, 1.609095450960642]","[-0.6282480394372745, -0.0938157158896292, -0.4495031203312162, -0.9059561524155018, -0.3332692684044596, -0.3570435486078057, -0.39689000706468947, -0.910915443531762, -0.8760669938306926, -0.7640153224312747]"
compsvi26a,on,lamp,pencil,bowl,2,False,False,"[0.2760862226958302, -0.602573893987224, 1.140641600930798, -0.9059561524155018, -0.7484621051199398, 3.1695669218104805, -0.1105876859253011, -0.4095177687756396, 0.8521421437740951, 0.07901952837517426]","[-0.6282480394372745, 0.7087098585927339, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, -0.3570435486078057, -0.12269231471077419, -0.910915443531762, -0.8760669938306926, -0.8049314724261919]"
compsvi26a,on,lamp,pencil,table,2,False,False,"[0.2760862226958302, -0.602573893987224, 1.140641600930798, -0.9059561524155018, -0.7484621051199398, 3.1695669218104805, -0.1105876859253011, -0.4095177687756396, 0.8521421437740951, 0.07901952837517426]","[-0.6282480394372745, 0.02693708633154224, -0.4495031203312162, -0.9059561524155018, -0.2014566515761718, -0.3328079259554986, -0.12346817917482307, 1.4779347335894955, -0.7146486431409738, -0.8052166752197318]"
compsvi3,on,mug,pencil,table,3,False,False,"[1.1372995457254493, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8044619555084103, -0.4006176982175255, -0.4660006979035654, 0.20477252368801033, 0.777097086074642]","[-0.6282480394372745, -0.5410823328571932, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570417449903448, -0.3973835918288406, 1.4779347335894955, -0.8412654846033387, -0.8034636797315002]"
compsvi3,on,mug,pencil,pear,3,False,False,"[1.1372995457254493, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8044619555084103, -0.4006176982175255, -0.4660006979035654, 0.20477252368801033, 0.777097086074642]","[-0.6282480394372745, -0.602573893987224, -0.23216432722992095, -0.9059561524155018, -0.7313807699966368, -0.26148853626115853, -0.39920060629627246, -0.8964999462487252, -0.8290820617680997, 1.1099734573866893]"
compsvi34,on,mug,pencil (1),table,2,False,False,"[1.5698253701654223, -0.5758579264481054, -0.23748380084082227, 0.874931237546199, -0.7484621051199398, -0.3402950171975617, -0.40163956149885593, 0.7479102415518415, 0.6975558061987005, 1.8432595489531811]","[-0.6282480394372745, -0.5410777919455153, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570428063464443, -0.397362976475769, 1.4779347335894955, -0.8403637783512053, -0.8038937429554549]"
compsvi34,on,mug,pencil (1),pencil,2,False,False,"[1.5698253701654223, -0.5758579264481054, -0.23748380084082227, 0.874931237546199, -0.7484621051199398, -0.3402950171975617, -0.40163956149885593, 0.7479102415518415, 0.6975558061987005, 1.8432595489531811]","[1.1395673531140684, -0.49755819246132116, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8356447463774235, -0.40063110050175255, -0.436852664697385, 0.22393905973271883, 0.8905519156985907]"
compsvi36,on,mug,pencil,table,2,False,False,"[1.1374475115454838, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8043674666534697, -0.4006176982175255, -0.4660016534436363, 0.20477636236937302, 0.7767120513239466]","[-0.6282480394372745, -0.5410823328571932, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570430989931644, -0.3973835918288406, 1.4779347335894955, -0.8412652926692705, -0.8035328959355058]"
compsvi36,on,mug,pencil,pear,2,False,False,"[1.1374475115454838, -0.4993979062073109, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8043674666534697, -0.4006176982175255, -0.4660016534436363, 0.20477636236937302, 0.7767120513239466]","[-0.6282480394372745, -0.602573893987224, -0.23216432722992095, -0.9059561524155018, -0.7313807699966368, -0.26483755419434696, -0.39920060445248806, -0.8970049061768655, -0.8307276324930779, 1.1099734573866893]"
compsvi45,on,mug,pencil,table,1,False,False,"[1.1352231691164998, -0.49755819246132116, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8356447463774235, -0.40063110050175255, -0.436852664697385, 0.22393905973271883, 0.7945467881406945]","[-0.6282480394372745, -0.5410777919455153, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570428063464443, -0.397362976475769, 1.4779347335894955, -0.8403637783512053, -0.7979328584507431]"
compsvi45,on,mug,pencil,cup,1,False,False,"[1.1352231691164998, -0.49755819246132116, -0.4495031203312162, -0.9059561524155018, -0.6943065166862483, 1.8356447463774235, -0.40063110050175255, -0.436852664697385, 0.22393905973271883, 0.7945467881406945]","[-0.6282480394372745, -0.602573893987224, -0.26640419251564684, 0.05759642108849745, -0.7014955397738679, 0.01936979345802529, -0.39917283152848154, -0.31386175778822617, -0.4993080954297199, -0.00016522201512359362]"
compsvi46,on,bowl,pencil,ball,2,False,False,"[1.6837178985981087, -0.602573893987224, 0.6105938269526342, 0.7405245542059091, -0.7484621051199398, 0.24913280976760094, -0.40111623428023124, 0.574265916601986, 0.44153183377483207, 1.8432595489531811]","[-0.05199746527976937, -0.5893852876880554, -0.05551769862119792, -0.5614577057452173, -0.7484621051199398, 0.0799053757614312, -0.39950818087397977, -0.817084537968171, -0.5798443501750623, 1.1811230152271501]"
compsvi46,on,bowl,pencil,table,2,False,False,"[1.6837178985981087, -0.602573893987224, 0.6105938269526342, 0.7405245542059091, -0.7484621051199398, 0.24913280976760094, -0.40111623428023124, 0.574265916601986, 0.44153183377483207, 1.8432595489531811]","[-0.6282480394372745, -0.47343335408452614, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3569196137454828, -0.4011621133511566, 1.4779347335894955, -0.8229110455926996, -0.8043625404104732]"
compsvinew1,on,plate,cube,table,3,False,False,"[1.6837088819309503, -0.6025087611129639, 3.048815686243471, 0.20289826438651715, -0.7484621051199398, 0.49296399262890556, -0.38669885954503, -0.8255476369331674, 1.5231088579503727, 1.1138850755430465]","[-0.6282480394372745, -0.5387277969117628, -0.4495031203312162, -0.9059561524155018, 1.173550676083062, -0.3570104571224837, -0.38366456019687173, 1.4779347335894955, -0.6693504036774585, -0.8044724737579549]"
compsvinew1,on,plate,cube,pencil,3,False,False,"[1.6837088819309503, -0.6025087611129639, 3.048815686243471, 0.20289826438651715, -0.7484621051199398, 0.49296399262890556, -0.38669885954503, -0.8255476369331674, 1.5231088579503727, 1.1138850755430465]","[-0.6282480394372745, -0.602573893987224, 2.147733420984951, -0.9059561524155018, -0.20690622078302562, 1.9205446960698391, -0.38730802562015504, -0.5714271061154047, 0.32099939823961804, 0.24096050291216473]"
compsvinew2,on,shelf,mug,table,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.0920751687723476, -0.9059561524155018, -0.7484621051199398, 3.938588212351634, -0.023493765402384677, -0.580255340829974, 1.228999648302576, 1.117380118411612]","[-0.6282480394372745, -0.24699883042724388, -0.4495031203312162, -0.9059561524155018, 1.6343840719040235, -0.3570435486078057, -0.020405242199608556, 1.4779347335894955, -0.5548535748325699, -0.782103731795455]"
compsvinew2,on,shelf,mug,box,1,False,False,"[1.6837178985981087, -0.602573893987224, 2.0920751687723476, -0.9059561524155018, -0.7484621051199398, 3.938588212351634, -0.023493765402384677, -0.580255340829974, 1.228999648302576, 1.117380118411612]","[-0.5505560193460927, -0.602573893987224, -0.06612572070475049, -0.9059561524155018, -0.712556211329916, 4.456150670497951, -0.02225400479015457, -0.7117401389829123, 1.5231088579503727, 0.07144747403429257]"
compsvo12,on,table,book (1),box,1,False,False,"[1.68169261643639, -0.6025681229689394, 2.366598040816922, 1.3039272737982808, -0.7484621051199398, -0.356070573858245, -0.3974507221740677, -0.7250892726576835, 1.5231088579503727, 0.8258756388918188]","[1.6837178985981087, -0.5722090519676662, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 4.538752044159563, -0.39684905476998655, -0.6727062076462421, 1.5231088579503727, 1.8432595489531811]"
compsvo12,on,table,book,box,1,False,False,"[1.6837178985981087, -0.602417956677921, 1.0400187574335287, 1.256453446109969, -0.7484621051199398, -0.3325802616688437, -0.38515296619447204, -0.8259465988012484, 0.4858143821414961, 1.346310855855447]","[1.6837178985981087, -0.5722090519676662, -0.4495031203312162, -0.9059561524155018, -0.7484621051199398, 4.538752044159563, -0.39684905476998655, -0.6727062076462421, 1.5231088579503727, 1.8432595489531811]"
compsvo12v,on,board,clock,book,3,False,False,"[1.6278591831590172, -0.602573893987224, 6.368591495550767, -0.9059561524155018, -0.7484621051199398, 3.7254551365956585, 4.522274188425759, -0.8686972226859928, 1.1245541666887242, 1.600237400416655]","[1.6837178985981087, -0.602573893987224, 0.059073931870723816, 1.2668873226303095, -0.7484621051199398, -0.3043737473355636, 0.0052006820336879525, -0.30707598997509555, 1.2289103989608898, 1.4540743024232134]"
compsvo12v,on,board,clock,table,3,False,False,"[1.6278591831590172, -0.602573893987224, 6.368591495550767, -0.9059561524155018, -0.7484621051199398, 3.7254551365956585, 4.522274188425759, -0.8686972226859928, 1.1245541666887242, 1.600237400416655]","[-0.6282480394372745, -0.3738598912601141, -0.4495031203312162, -0.9059561524155018, 1.5294787923913085, -0.35704062860060704, 0.007615670805102298, 1.4779347335894955, -0.6474155785761722, -0.803563545317452]"
compsvo13v,on,board,book,jar,2,False,False,"[1.6837178985981087, -0.602573893987224, 0.059073931870723816, 1.2668873226303095, -0.7484621051199398, -0.3043737473355636, 0.0052006820336879525, -0.30707598997509555, 1.2289103989608898, 1.4015129205746253]","[-0.6280494694686262, -0.602573893987224, 0.19152406007195266, -0.9059561524155018, -0.2949090192236393, 0.3939670891066752, 0.007057372897036776, -0.8598536276647846, -0.5080211823706331, -0.6255244724672451]"
compsvo13v,on,board,book,table,2,False,False,"[1.6837178985981087, -0.602573893987224, 0.059073931870723816, 1.2668873226303095, -0.7484621051199398, -0.3043737473355636, 0.0052006820336879525, -0.30707598997509555, 1.2289103989608898, 1.4015129205746253]","[-0.6282480394372745, -0.3738598912601141, -0.4495031203312162, -0.9059561524155018, 1.5294787923913085, -0.35704062860060704, 0.007615670805102298, 1.4779347335894955, -0.6474155785761722, -0.8051878050015944]"
compsvo14,on,table,book,book (1),2,False,False,"[1.6837178985981087, -0.602573893987224, 2.4126827937834525, 1.2261952485551593, -0.7484621051199398, -0.2484028579689862, -0.3945492453645528, -0.761040583948793, 1.5231088579503727, 1.141528981505572]","[1.6837178985981087, -0.4591395894900852, -0.4495031203312162, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, -0.39379088210177005, -0.7074532517860611, 1.5231088579503727, 1.4203422786296571]"
compsvo14a,on,table,box,book,1,False,False,"[1.6834656631142688, -0.602573893987224, 0.2742871464651443, 1.1970436877083173, -0.7484621051199398, -0.35572738837878315, -0.3918550467942214, -0.7190958386713006, 1.5231088579503727, 1.3089297090789886]","[1.6837178985981087, 0.365611169588937, -0.4495031203312162, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, -0.39400363453675613, -0.5915794462095997, 1.5231088579503727, 0.7665001550310184]"
compsvo14v,on,board,book,jar,2,False,False,"[1.6837178985981087, -0.602573893987224, 0.059073931870723816, 1.2668873226303095, -0.7484621051199398, -0.3043737473355636, 0.0052006820336879525, -0.30707598997509555, 1.2289103989608898, 1.4123098511822174]","[-0.6278995561178445, -0.020700299750659467, -0.4495031203312162, -0.9059561524155018, -0.2949090192236393, -0.3570435486078057, 0.0074447519937493834, -0.910915443531762, -0.8760669938306926, -0.8034765626035956]"
compsvo14v,on,board,book,table,2,False,False,"[1.6837178985981087, -0.602573893987224, 0.059073931870723816, 1.2668873226303095, -0.7484621051199398, -0.3043737473355636, 0.0052006820336879525, -0.30707598997509555, 1.2289103989608898, 1.4123098511822174]","[-0.6282480394372745, -0.3738598912601141, -0.4495031203312162, -0.9059561524155018, 1.5294787923913085, -0.35704062860060704, 0.007615670805102298, 1.4779347335894955, -0.6474155785761722, -0.8048334981872176]"
compsvo16,on,table,book,balloon,3,False,False,"[1.6837178985981087, -0.602573893987224, 2.366598040816922, 1.2825381374108198, -0.7484621051199398, -0.3269864724984155, -0.394002367856892, -0.725068465772641, 1.5231088579503727, 1.3435526430308606]","[-0.6282480394372745, 0.42808884095815125, -0.4495031203312162, 1.311752681188536, -0.7484621051199398, -0.3570435486078057, 1.3742894927640308, -0.5229547082864197, 1.5231088579503727, -0.8053027946095308]"
compsvo16a,on,table,book,balloon,2,False,False,"[1.6837178985981087, -0.602573893987224, 2.366598040816922, 1.2825381374108198, -0.7484621051199398, -0.3269864724984155, -0.394002367856892, -0.725068465772641, 1.5231088579503727, 1.3494119250754073]","[-0.6282480394372745, -0.602573893987224, 0.20284734841869745, 0.902749068300511, -0.7484621051199398, -0.043078869931210344, 1.3743348498596004, -0.7940477807276111, 0.338477154402258, 1.8432595489531811]"
